id,제목,URL,Thumbnail,작가,스토리,장르,연령대
752534,2020 호랑 공포 단편선,https://comic.naver.com/webtoon/list?titleId=752534,https://shared-comic.pstatic.net/thumb/webtoon/752534/thumbnail/thumbnail_IMAG10_d289b254-f3f4-4b50-a942-602a59071468.jpg,호랑,"""진짜 공포를 보여드리겠습니다""<옥수역 귀신><봉천동 귀신>으로대한민국을 공포에 몰아넣었던 호랑작가가2020년 새로운 귀신 이야기로 다시 돌아왔다!","옴니버스, 스릴러",15세 이용가
756070,이웃집의 훈훈한 스토커군,https://comic.naver.com/webtoon/list?titleId=756070,https://shared-comic.pstatic.net/thumb/webtoon/756070/thumbnail/thumbnail_IMAG10_2a2061ab-0f2b-45af-b5fc-9780fa9fa95d.jpg,teamGOGI+,친절한 매너와 훈훈한 얼굴로 학교 내 최고의 인기남 진범.그가 사실은 스토커라고?!이웃집에 미워할 수 없는 훈남 스토커가 산다!,"스토리, 로맨스",15세 이용가
737018,회춘,https://comic.naver.com/webtoon/list?titleId=737018,https://shared-comic.pstatic.net/thumb/webtoon/737018/thumbnail/thumbnail_IMAG10_8bd8d436-4bb7-4924-b438-cd567766b267.jpg,기안84,두 번의 청춘이 오는 세상에서살아가는 사람들 이야기.기안84 작가의 새로운 작품!,"에피소드, 드라마",15세 이용가
756063,헌팅,https://comic.naver.com/webtoon/list?titleId=756063,https://shared-comic.pstatic.net/thumb/webtoon/756063/thumbnail/thumbnail_IMAG10_119e33d4-1988-4508-8159-7097ea2504ce.jpg,은성 / 전영륜,"과거에 엑소시스트로 유명했던 목사 에스틴, 에스틴은 악마와의 싸움을 통해 부와 명예를 얻었지만 결국 모든 걸 잃고 교도소에 갇히는 신세가 된다.매일매일 기자와 영화제작자와 싸우며 교도소의 생활에 익숙해진 에스틴, 그런 그에게 과거 자신을 변호했던 변호사가 찾아온다. 변호사는 자신의 딸에게 악령이 깃들었다며 에스틴에게 도움을 요청을 하고 에스틴은 결국 악마와 다시 만나기 위해 교도소를 떠나는데…","스토리, 스릴러",전체연령가
756064,반중력소녀,https://comic.naver.com/webtoon/list?titleId=756064,https://shared-comic.pstatic.net/thumb/webtoon/756064/thumbnail/thumbnail_IMAG10_31dce4fa-9b9e-435b-8d42-305460b2765e.jpg,겨울,"특별하게 태어난 소녀과 평범한 소년, 만나다!","스토리, 로맨스",전체연령가
756065,물고기가 보이는 남자,https://comic.naver.com/webtoon/list?titleId=756065,https://shared-comic.pstatic.net/thumb/webtoon/756065/thumbnail/thumbnail_IMAG10_e82546d3-2e98-48ee-9aef-32a4143ff54d.jpg,차세기,사람들의 머리 위 물고기를 볼 수 있는 특이한 능력을 가진 남자 “한아리”. 물고기의 비밀을 파헤쳐 가며 벌어지는 놀라운 일들과 그 속에서의 인생 이야기.,"스토리, 드라마",12세 이용가
744375,결백한 사람은 없다,https://comic.naver.com/webtoon/list?titleId=744375,https://shared-comic.pstatic.net/thumb/webtoon/744375/thumbnail/thumbnail_IMAG10_dfb445f1-ac91-4dc7-934a-594188fffd83.jpg,서각,15년 전 실종된 아이가 돌아왔다.초능력을 가진 순경의 아동실종 심리 수사극,"스토리, 드라마",전체연령가
714185,링크보이,https://comic.naver.com/webtoon/list?titleId=714185,https://shared-comic.pstatic.net/thumb/webtoon/714185/thumbnail/thumbnail_IMAG10_b09f7c2d-7083-467b-95bc-4dace9c21b6f.jpg,광진 / 두엽,약육강식의 무법도시.잘못된 이 도시를 바로잡는다.,"스토리, 판타지",12세 이용가
726211,사우러스,https://comic.naver.com/webtoon/list?titleId=726211,https://shared-comic.pstatic.net/thumb/webtoon/726211/thumbnail/thumbnail_IMAG10_58e89e49-152a-4d08-9ec8-ad571d0c16ea.jpg,이노,다시 돌아온 공룡의 시대! 무너진 인류 문명을 지키려는 자들과 이를 방해하려는 세력의 치열한 전투가 시작된다.,"스토리, 판타지",전체연령가
756059,미스터 해녀,https://comic.naver.com/webtoon/list?titleId=756059,https://shared-comic.pstatic.net/thumb/webtoon/756059/thumbnail/thumbnail_IMAG10_6fe43ab1-3f7a-42cf-80f6-faa3ad6d5bf8.jpg,빡세,"제주도에 정착한 웹툰작가 빡세,과연 그는 해녀 학교의 모든 훈련을 무사히 마치고해녀왕이 될 수 있을까?","스토리, 개그",전체연령가
756060,그녀는 무사다,https://comic.naver.com/webtoon/list?titleId=756060,https://shared-comic.pstatic.net/thumb/webtoon/756060/thumbnail/thumbnail_IMAG10_f8759372-e70d-414a-a0c5-b2316e9d40a2.jpg,명랑 / 부겸,고리의 마지막 무사 집단. 백귀를 이끌었던 그녀의 일대기.이제는 기억하는 이 하나없이 사라져버린 '백귀단'의 존재 속에서 그 누구보다도 강하고 아름다운 꽃을 피웠던 한 소녀의 이야기가 시작된다.,"스토리, 액션",전체연령가
